"","System","Sign. Points","Sampled points"
"simp_samp_full_data","1A0535+262","124","112"
"simp_samp_full_data","4U1254-690","2915","302"
"simp_samp_full_data","4U1538-52","193","147"
"simp_samp_full_data","4U1608-52","709","246"
"simp_samp_full_data","4U1626-67","1202","241"
"simp_samp_full_data","4U1630","679","253"
"simp_samp_full_data","4U1700-37","1152","277"
"simp_samp_full_data","4U1705-44","2222","278"
"simp_samp_full_data","4U1822-37","919","254"
"simp_samp_full_data","4U1916-053","565","245"
"simp_samp_full_data","4U1957+115","1298","266"
"simp_samp_full_data","AqlX-1","274","178"
"simp_samp_full_data","CenX-3","1187","244"
"simp_samp_full_data","CirX-1","326","177"
"simp_samp_full_data","CygX-1","1456","266"
"simp_samp_full_data","CygX-2","1446","264"
"simp_samp_full_data","CygX-3","1284","263"
"simp_samp_full_data","GROJ1008-57","233","167"
"simp_samp_full_data","GRS1739","1327","265"
"simp_samp_full_data","GRS1915","1782","266"
"simp_samp_full_data","GX13+1","2082","262"
"simp_samp_full_data","GX17+2","2134","288"
"simp_samp_full_data","GX3+1","1862","296"
"simp_samp_full_data","GX301-2","192","152"
"simp_samp_full_data","GX339-4","502","217"
"simp_samp_full_data","GX349+2","2375","277"
"simp_samp_full_data","GX5-1","2659","276"
"simp_samp_full_data","GX9+1","2618","285"
"simp_samp_full_data","GX9+9","2066","279"
"simp_samp_full_data","H0614+091","2176","270"
"simp_samp_full_data","H1636-536","2228","249"
"simp_samp_full_data","H1743","224","170"
"simp_samp_full_data","HerX-1","366","207"
"simp_samp_full_data","HETEJ1900.1-2455","1031","272"
"simp_samp_full_data","LMCX-1","821","236"
"simp_samp_full_data","LMCX-3","765","232"
"simp_samp_full_data","LMCX-4","192","150"
"simp_samp_full_data","MAXIJ1535-571","306","175"
"simp_samp_full_data","MAXIJ1820+070","158","133"
"simp_samp_full_data","OAO1657","157","132"
"simp_samp_full_data","ScoX-1","2059","283"
"simp_samp_full_data","SerX-1","1863","254"
"simp_samp_full_data","SMCX-1","978","263"
"simp_samp_full_data","VelaX-1","686","245"
